Name,Link to Recipe,Ingredients,,,,,,,,,,,,,,
Bread Pockets,https://upbeat-dogsled-248.notion.site/Bread-Pockets-d8e493d42ce14995a5fc9ba8631effaf,Capsicum,Carrot,Cabbage,Bread,Bread crumbs,Yoghurt,Shan chicken tikka masala,Chicken,Mayonnaise,Egg,Oil,,,,
Chane ki Daal,https://upbeat-dogsled-248.notion.site/Chane-ki-Daal-66d5c62850ec41bbaa2f65dfb8271354,Chane ki daal,Oil,Onions,Tomato,Red chili powder,Haldi,Coriander powder,Salt,Ginger garlic paste,,,,,,
Chicken Korma,https://upbeat-dogsled-248.notion.site/Chicken-Korma-e34938279ee94a6aa77e28fe57c835b1,Chicken,Onions,Tomato,Green chilis,Ginger garlic paste,Cloves,Cinnamon stick,Yoghurt,Shan chicken korma masala,Coriander powder,Red chili powder,Turmeric,Salt,Oil,Green cardamoms
Chicken Tikka Roast,https://upbeat-dogsled-248.notion.site/Chicken-Tikka-Roast-9041184ee7f24a91bae9460a21061494,Yoghurt,Ginger garlic paste,Chili flakes,Lemon,Green chilis,Chaat masala,Shaan chicken tikka masala,Salt,Chicken,Oil,,,,,
Daal,https://www.notion.so/Daal-da3f89cc5aaf470482bef3abce53115f,Moong ki daal,Masoor ki daal,Coriander powder,Turmeric,Red chili powder,Salt,Garlic,Cumin seeds,Chili flakes,Ghee,,,,,
Portuguese Peri Peri Chicken,https://www.notion.so/Portuguese-Peri-Peri-Chicken-ae34f7ad59a54ca5be0399982c02a4e4,Chicken,Oil,BBQ sauce,Worcestershire sauce,Garlic,Onion powder,Sriracha,Mustard,Salt,Red chili powder,Chili flakes,,,,
Spicy Salmon,https://www.notion.so/Spicy-Salmon-1fc636fd26e4425bbc7a07e4464346d6,Ginger garlic paste,Oil,Soy sauce,Chili sauce,Sriracha,Chili flakes,Black pepper,Salt,Red chili powder,Salmon,,,,,
Omelette,https://www.simplyrecipes.com/recipes/how_to_make_an_omelet/,Egg,Butter,,,,,,,,,,,,,
Broccoli Pesto Pasta,https://themodernproper.com/broccoli-pesto-pasta,Pasta,Broccoli,Basil ,Garlic,Oil,Salt,,,,,,,,,
Lemon Chicken,https://themodernproper.com/lemon-chicken,Chicken,Oil,Oregano,Thyme,Garlic,Salt,Black pepper,Garlic powder,Lemon,Brown sugar,,,,,
Instant Pot Mac and Cheese,https://themodernproper.com/instant-pot-mac-and-cheese,Macaroni,Salt,Heavy Cream,Parmesan,Cheddar cheese,,,,,,,,,,
Tikka Masala Soup,https://themodernproper.com/tikka-masala-soup,Oil,Onions,Garlic,Cayenne pepper,Garam masala,Cumin,Turmeric,Cinnamon,Chicken stock,Tomato,Salt,Chicken,,,
Nutella Mug Cake,https://cookpad.com/in/recipes/15811258-nutella-mug-cake-2-ingredients-recipe-one-minute-flourless-mug,Egg,Nutella,Butter,Sugar,,,,,,,,,,,
Pizza,https://cookpad.com/in/recipes/15434888-2-minute-pizza,Flour,Baking powder,Milk,Salt,BBQ sauce,Mozzarella,Onions,Oregano,,,,,,,
Slow Cooker BBQ Chicken,https://www.familyfreshmeals.com/2014/06/best-crockpot-bbq-chicken.html,Chicken,BBQ sauce,Italian dressing,Brown sugar,Worcestershire sauce,Salt,,,,,,,,,
